"","V1","V2"
"1",0.863509749303621,0.136490250696379
"2",0.89605418138987,0.10394581861013
"3",0.853963838664812,0.146036161335188
"4",0.859430604982206,0.140569395017794
"5",0.854883081155433,0.145116918844567
"6",0.861897665176354,0.138102334823646
"7",0.835714285714286,0.164285714285714
"8",0.806995627732667,0.193004372267333
"9",0.673702224757558,0.326297775242442
"10",0.575614366729679,0.424385633270321
"11",0.275923059915985,0.724076940084015
"12",0.259049280418665,0.740950719581335
"13",0.297258883248731,0.702741116751269
"14",0.279545127393119,0.720454872606881
"15",0.856578204404291,0.143421795595709
"16",0.8578125,0.1421875
"17",0.851165254237288,0.148834745762712
"18",0.804242156429518,0.195757843570482
"19",0.855970149253731,0.144029850746269
"20",0.802009456264775,0.197990543735225
"21",0.749163879598662,0.250836120401338
"22",0.785018270401949,0.214981729598051
"23",0.723496321938555,0.276503678061445
"24",0.711349984192223,0.288650015807777
"25",0.497594708358388,0.502405291641612
"26",0.370858688302907,0.629141311697093
"27",0.369926813040586,0.630073186959414
"28",0.3713298791019,0.6286701208981
"29",0.87465025181869,0.125349748181309
"30",0.922704339051463,0.0772956609485368
"31",0.907780979827089,0.0922190201729107
"32",0.917463352453792,0.0825366475462078
"33",0.92661642205474,0.0733835779452598
"34",0.891713747645951,0.108286252354049
"35",0.895285935085008,0.104714064914992
"36",0.869889091210065,0.130110908789935
"37",0.824361439165065,0.175638560834935
"38",0.78149668455952,0.21850331544048
"39",0.788063337393423,0.211936662606577
"40",0.818956043956044,0.181043956043956
"41",0.784889475420653,0.215110524579347
"42",0.782909498878085,0.217090501121915
